cart_offset,length,dest,mode
0x00800000,0x800,0x0c0e6a00,DMA
0x00808000,0x800,0x0c115960,DMA
0x0080a000,0x800,0x0c115960,DMA
0x0080a800,0x800,0x0c115960,DMA
0x0080b000,0x800,0x0c115960,DMA
0x0080b800,0x800,0x0c115960,DMA
0x0080c000,0x800,0x0c115960,DMA
0x0080c800,0x800,0x0c115960,DMA
0x0080d000,0x800,0x0c115960,DMA
0x0080d800,0x800,0x0c115960,DMA
0x0080e000,0x800,0x0c115960,DMA
0x0080e800,0x800,0x0c115960,DMA
0x0080f000,0x800,0x0c115960,DMA
0x0080f800,0x800,0x0c115960,DMA
0x00acf000,0x800,0x0ca378e0,DMA
0x00acf800,0x800,0x0ca378e0,DMA
0x00ad0000,0x800,0x0ca378e0,DMA
0x00ad0800,0x800,0x0ca378e0,DMA
0x00ad1000,0x800,0x0ca378e0,DMA
0x00ad1800,0x800,0x0ca378e0,DMA
0x00ad4000,0x800,0x0ca378e0,DMA
0x00ad5000,0x800,0x0ca378e0,DMA
0x00ad5800,0x800,0x0ca378e0,DMA
0x00ad6000,0x800,0x0ca378e0,DMA
0x00ad6800,0x800,0x0ca378e0,DMA
0x00ad7000,0x800,0x0ca378e0,DMA
0x00ad7800,0x800,0x0ca378e0,DMA
0x00ada800,0x800,0x0ca378e0,DMA
0x00ae2000,0x800,0x0ca378e0,DMA
0x00af2800,0x800,0x0ca378e0,DMA
0x00af3000,0x800,0x0ca378e0,DMA
0x00ca2000,0xab000,0x0ca378e0,DMA
0x00d4d000,0xb000,0x0ca378e0,DMA
0x00d58000,0xb000,0x0ca378e0,DMA
0x00d63000,0xb000,0x0ca378e0,DMA
0x00d6e000,0xb000,0x0ca378e0,DMA
0x00d79000,0xab000,0x0ca378e0,DMA
0x00e24000,0xb000,0x0ca378e0,DMA
0x00e2f000,0xb000,0x0ca378e0,DMA
0x00e3a000,0xb000,0x0ca378e0,DMA
0x00e45000,0xb000,0x0ca378e0,DMA
0x00ffe000,0xab000,0x0ca378e0,DMA
0x010a9000,0xb000,0x0ca378e0,DMA
0x010b4000,0xb000,0x0ca378e0,DMA
0x010bf000,0xb000,0x0ca378e0,DMA
0x010ca000,0xb000,0x0ca378e0,DMA
0x010d5000,0xab000,0x0ca378e0,DMA
0x01180000,0x16000,0x0ca378e0,DMA
0x01196000,0x16000,0x0ca378e0,DMA
0x011ac000,0x16000,0x0ca378e0,DMA
0x011c2000,0x40800,0x0c36ed20,DMA
0x01202800,0x40800,0x0c32e4e0,DMA
0x01243000,0x40800,0x0c2edca0,DMA
0x01283800,0x40800,0x0c2ad460,DMA
0x012c4000,0x40800,0x0c22c3e0,DMA
0x01304800,0xab000,0x0ca378e0,DMA
0x0145a800,0x2b000,0x0ca378e0,DMA
0x01485800,0x2b000,0x0ca378e0,DMA
0x014b0800,0x2b000,0x0ca378e0,DMA
0x014db800,0xab000,0x0ca378e0,DMA
0x01586800,0xb000,0x0ca378e0,DMA
0x01591800,0xb000,0x0ca378e0,DMA
0x0159c800,0xb000,0x0ca378e0,DMA
0x015a7800,0xb000,0x0ca378e0,DMA
0x015b2800,0xab000,0x0ca378e0,DMA
0x0165d800,0xb000,0x0ca378e0,DMA
0x01668800,0xb000,0x0ca378e0,DMA
